id|airport_code|code
389|SOF|BGR000GSO000
390|KBL|AFG000KBL000
391|KIN|JAM000KIN000
392|KTP|JAM000KIN000
393|LAQ|LBY000001000
394|LED|RUS000SPE000
395|RVH|RUS000SPE000
396|LHE|PAK000LHE000
397|HKD|JPN000052000
398|JED|SAU000JED000
399|DUB|IRL0000DB000
400|GRZ|AUT000001000
401|EZE|ARG000BUE000
402|AEP|ARG000BUE000
403|CAS|MAR000CBL000
404|CMN|MAR000CBL000
405|CMB|LKA000CMB000
406|CBM|USA000CMB000
407|BYV|USA000CMB000
408|RML|USA000CMB000
409|CCS|VEN00000A000
410|CUN|MEX000001000
411|CUZ|PER0000CU000
412|DAR|TZA0000DS000
413|LNZ|AUT000002000
414|LUN|ZMB0000LK000
415|LYP|PAK000LYP000
416|MBA|KEN000MOM000
417|BEN|LBY000002000
418|BGO|NOR000021000
419|NBO|KEN0000NA000
420|WIL|KEN0000NA000
421|OPO|PRT000VDP000
422|OSL|NOR000003000
423|RYG|NOR000003000
424|PEW|PAK000PEW000
425|ORK|IRL0000CK000
426|BRN|CHE0000BE000
427|BEY|LBN0000BA000
428|LIM|PER0000LI000
429|BRS|GBRENGBST000
430|DAM|SYR0000DI000
431|FAO|PRT000FAO000
432|LAD|AGO000LUA000
433|NLO|COD000001000
434|FIH|COD000001000
435|FKI|COD000002000
436|JIB|DJI000000000
437|WKF|ZAF000PRY000
438|HRE|ZWE0000HA000
439|SAH|YEM0000SN000
440|SCL|CHL0000RM000
441|MHP|BLR0000MI000
442|MSQ|BLR0000MI000
443|DKR|SEN0000DA000
444|GBE|BWA000001000
445|NIM|NER000NIM000
446|KIJ|JPN000053000
447|NAH|IDN000003000
448|TKS|JPN000054000
449|KCZ|JPN000039000
450|ISG|JPN000055000
451|FSZ|JPN000022000
452|RNO|USA0NVRNO000
453|BIF|USA0TXELP000
454|ELP|USA0TXELP000
455|AUS|USA0TXAUS000
456|MMR|USA0TXAUS000
457|MWC|USA0WIMKE000
458|MKE|USA0WIMKE000
459|MKC|USA0KSKCK000
460|MCI|USA0KSKCK000
461|OJC|USA0KSKCK000
462|JCI|USA0KSKCK000
463|CPS|USA0MOSTL000
464|SUS|USA0MOSTL000
465|STL|USA0MOSTL000
466|CVG|USA0OHCVG000
467|LUK|USA0OHCVG000
468|CLE|USAAP0001000
469|CGF|USAAP0001000
470|BKL|USAAP0001000
471|NBG|USA0LAMSY000
472|NEW|USA0LAMSY000
473|MSY|USA0LAMSY000
474|MCO|USA0FLORL000
475|ORL|USA0FLORL000
476|SFB|USA0FLORL000
477|DWS|USA0FLORL000
478|ISM|USA0FLORL000
479|EYW|USA0FLEYW000
480|NQX|USA0FLEYW000
481|MUV|USA0PAPHL000
482|PNE|USA0PAPHL000
483|PSQ|USA0PAPHL000
484|PHL|USA0PAPHL000
485|BBX|USA0PAPHL000
486|SBA|USA0CASBA000
487|SZN|USA0CASBA000
488|TUS|USA0AZTUC000
489|AVW|USA0AZTUC000
490|DMA|USA0AZTUC000
491|SSF|USA0TXSAT000
492|SKF|USA0TXSAT000
493|SAT|USA0TXSAT000
494|RND|USA0TXSAT000
495|MDA|USA0TXSAT000
496|CBG|GBRENGCAM000
497|ABZ|GBRSCTABD000
498|DND|ZAF000DUN000
499|EMA|GBRENGNGM000
500|NQT|GBRENGNGM000
501|MLE|MDV000MAL000
502|OOL|AUSQLDOOL000
503|MGY|USA0OHDYT000
504|FFO|USA0OHDYT000
505|DWF|USA0OHDYT000
506|DAY|USA0OHDYT000
507|ADB|TUR000IZM000
508|IGL|TUR000IZM000
509|AYT|TUR000ANT000
510|ANK|TUR000ANK000
511|ESB|TUR000ANK000
512|USM|THA000002000
513|LIS|PRT000LIS000
514|MEM|USA0TNMEM000
515|NQA|USA0TNMEM000
516|MAA|IND000MAA000
517|MIC|USA0MNMES000
518|MSP|USA0MNMES000
519|JDT|USA0MNMES000
520|FCM|USA0MNMES000
521|CEB|PHL000CEB000
522|BLQ|ITA000BLQ000
523|CMH|USA0GACZX000
524|LCK|USA0GACZX000
525|OSU|USA0GACZX000
